element_type,id,now_cost,selected_by_percent,team,web_name
2,531,45.0,0,7,Brandon Fleming
2,9,55.0,0,7,Cyrus Christie
3,2739,55.0,0,7,Doğukan Sinik
3,1557,50.0,0,7,Greg Docherty
3,3583,50.0,0,7,Harry Vaughan
2,1551,50.0,0,7,Jacob Greaves
3,3852,55.0,0,7,Jason Lokilo
3,1483,55.0,0,7,Jean Michaël Seri
2,1548,50.0,0,7,Lewie Coyle
4,2554,60.0,0,7,Liam Delap
1,504,50.0,0,7,Matt Ingram
4,2731,70.0,0,7,Óscar Estupiñán
3,2721,60.0,0,7,Ozan Tufan
3,1540,50.0,0,7,Regan Slater
2,3870,55.0,0,7,Ruben Vinagre
3,1693,55.0,0,7,Ryan Longman
3,325,45.0,0,7,Ryan Woods
2,511,50.0,0,7,Sean McLoughlin
1,3523,40.0,0,7,Thimothee Lo-Tutala
3,2750,45.0,0,7,Vaughn Covil
3,2806,45.0,0,7,Xavier Simons
3,3615,50.0,0,8,Cameron Humphreys
2,3612,45.0,0,8,Cameron Robert Burgess
1,581,45.0,0,8,Christian Walton
1,2380,40.0,0,8,Cieran Slicker
4,852,65.0,0,8,Conor Chaplin
3,708,45.0,0,8,Dominic Ball
2,3818,40.0,0,8,Elkan Baggott
4,1162,60.0,0,8,Freddie Ladapo
2,1432,45.0,0,8,George Edmundson
4,1283,60.0,0,8,George Hirst
2,3611,40.0,0,8,Gregory Alex Leigh
2,2676,45.0,0,8,Harry Clarke
3,1608,55.0,0,8,Jack Taylor
2,3610,40.0,0,8,Janoi Donacien
4,3616,50.0,0,8,Kayden Pastel Dunn Jackson
3,392,50.0,0,8,Kyle Edwards
3,448,45.0,0,8,Lee Evans
2,464,50.0,0,8,Leif Davis
2,3613,45.0,0,8,Luke Matthew Woolfenden
3,3617,55.0,0,8,Marcus Anthony Harness
3,737,45.0,0,8,Massimo Luongo
4,2776,60.0,0,8,Nathan Broadhead
1,3608,40.0,0,8,Nicholas Michael Hayes
3,3869,60.0,0,8,Omari Hutchinson
3,147,50.0,0,8,Omatsone Folarin Aluko
3,429,50.0,0,8,Sam Morsy
1,3609,40.0,0,8,Vaclav Hladky
3,3618,60.0,0,8,Wesley James Burns
3,3887,55.0,0,9,Archie Gray
2,2723,55.0,0,9,Charlie Cresswell
2,2497,60.0,0,9,Cody Drameh
3,3624,85.0,0,9,Crysencio Jilbert Sylverio Cir Summerville
3,2005,80.0,0,9,Daniel James
3,3886,55.0,0,9,Darko Gyabi
3,3627,100.0,0,9,Degnand Wilfried Gnonto
2,1543,60.0,0,9,Ethan Ampadu
4,3626,90.0,0,9,Georginio Rutter
2,3620,60.0,0,9,Hector Junior Firpo Adames
3,492,70.0,0,9,Hélder Wander Sousa Azevedo Costa
3,476,60.0,0,9,Ian Carlo Poveda-Ocampo
1,454,60.0,0,9,Illan Meslier
3,470,95.0,0,9,Jack Harrison
3,474,55.0,0,9,Jamie Shackleton
4,443,75.0,0,9,Joe Gelhardt
1,3558,60.0,0,9,Karl Darlow
1,3619,50.0,0,9,Kristoffer-August Sundquist Klaesson
2,3533,50.0,0,9,Leo Hjelde
2,461,60.0,0,9,Liam Cooper
3,3625,90.0,0,9,Luis Fernando Sinisterra
2,458,60.0,0,9,Luke Ayling
4,3889,55.0,0,9,Matteo Joseph
2,466,55.0,0,9,Pascal Struijk
4,477,100.0,0,9,Patrick Bamford
3,3623,70.0,0,9,Sam Greenwood
2,493,55.0,0,9,Stuart Dallas
3,2075,60.0,0,9,Tyler Adams
1,83,50.0,0,10,Alex Smithies
3,1914,60.0,0,10,Boubakary Soumare
2,2729,60.0,0,10,Callum Doyle
2,2852,60.0,0,10,Conor David Coady
1,1391,60.0,0,10,Daniel Iversen
1,3038,60.0,0,10,Danniel Ward
3,2872,60.0,0,10,Dennis Praet
3,2774,55.0,0,10,Hamza Choudhury
2,1279,60.0,0,10,Harry Souttar
3,3819,60.0,0,10,Harry Winks
2,3633,65.0,0,10,James Michael Justin
4,3635,100.0,0,10,Jamie Richard Vardy
2,2907,55.0,0,10,Jannik Vestergaard
3,3888,60.0,0,10,Kasey McAteer
4,3637,115.0,0,10,Kelechi Promise Iheanacho
3,1326,75.0,0,10,Kiernan Dewsbury-Hall
2,3629,55.0,0,10,Luke Jonathan Thomas
1,3851,60.0,0,10,Mads Hermansen
3,3559,65.0,0,10,Marc Albrighton
3,3631,60.0,0,10,Onyinye Wilfred Ndidi
4,3634,95.0,0,10,Patson Daka
2,3632,65.0,0,10,Ricardo Domingos Barbosa Pereira
3,3891,90.0,0,10,Stephy Mavididi
2,2864,70.0,0,10,Timothy Castagne
2,3630,60.0,0,10,Victor Bernth Kristiansen
3,3883,60.0,0,10,Wanya Marcal-Madivadua
2,3312,60.0,0,10,Wout Faes
3,1383,55.0,0,11,Alexander Gilbert
2,1232,50.0,0,11,Anfernee Dijksteel
4,1287,110.0,0,11,Chuba Akpom
2,663,55.0,0,11,Dael Fry
3,1301,60.0,0,11,Daniel Barlaser
2,584,55.0,0,11,Darragh Lenihan
2,661,45.0,0,11,Hayden Coulson
3,672,60.0,0,11,Hayden Hackney
3,1361,75.0,0,11,Isaiah Jones
1,418,45.0,0,11,Jamie Jones
3,667,55.0,0,11,Jonathan Howson
4,1446,60.0,0,11,Josh Coburn
4,232,80.0,0,11,Marcus Forss
3,2179,60.0,0,11,Martín Payero
2,624,50.0,0,11,Matt Clarke
3,1122,65.0,0,11,Matty Crooks
3,375,65.0,0,11,Morgan Rogers
2,682,55.0,0,11,Paddy McNair
2,3820,50.0,0,11,Rav Van Den Berg
3,1310,70.0,0,11,Riley McGree
3,3844,60.0,0,11,Samuel Silvera
1,1296,45.0,0,11,Seny Dieng
1,3845,45.0,0,11,Tom Glover
2,758,55.0,0,11,Tom Smith
4,2783,60.0,0,12,Andreas Voglsammer
1,312,55.0,0,12,Bartosz Bialkowski
3,328,50.0,0,12,Billy Mitchell
3,3871,55.0,0,12,Casper De Norre
1,198,45.0,0,12,Connal Trueman
2,319,60.0,0,12,Danny McNamara
3,1341,60.0,0,12,Duncan Watmore
3,625,45.0,0,12,George Evans
3,520,60.0,0,12,George Honeyman
1,503,60.0,0,12,George Long
3,680,55.0,0,12,George Saville
2,315,60.0,0,12,Jake Cooper
2,10,65.0,0,12,Joe Bryan
4,3821,75.0,0,12,Kevin Nisbet
1,2159,60.0,0,12,Matija Sarkic
2,313,60.0,0,12,Murray Wallace
3,3524,50.0,0,12,Romain Esse
3,324,50.0,0,12,Ryan Leonard
2,314,55.0,0,12,Shaun Hutchinson
4,335,75.0,0,12,Tom Bradshaw
3,331,55.0,0,12,Tyler Burey
2,199,55.0,0,12,Wes Harding
3,2658,90.0,0,12,Zian Flemming
4,1156,65.0,0,13,Adam Idah
2,1355,55.0,0,13,Andrew Omobamidele
1,1324,55.0,0,13,Angus Gunn
4,2648,70.0,0,13,Ashley Barnes
2,1247,50.0,0,13,Ben Gibson
